Name,Unnamed: 1,Unnamed: 2,Age,Lev,Tm, ,Opp,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,Date
Caleb Kilian,gl,box,26,Maj-NL,Chicago,@,Miami,1,,1.0,,3.1,10,7,7,2,4,0,2,14,19,2,0,0,1,0,0,0,0,23,88,65%,17%,8%,40%,53%,0%,2023-04-26
Noah Davis,gl,box,26,Maj-NL,Colorado,,Arizona,1,,1.0,,2.0,7,7,7,2,2,1,0,14,12,1,0,0,0,0,0,1,0,14,54,59%,15%,11%,50%,30%,0%,2023-04-26
Nathan Eovaldi,gl,box,33,Maj-AL,Texas,,New York,1,1.0,,,9.0,3,0,0,0,8,0,0,89,28,0,0,0,1,0,0,0,0,29,113,69%,18%,12%,67%,10%,5%,2023-04-25
Kevin Gausman,gl,box,32,Maj-AL,Toronto,,Seattle,1,,,,7.0,6,0,0,1,13,0,0,77,26,0,0,0,0,0,1,0,1,27,108,69%,15%,25%,46%,23%,0%,2023-04-25
Easton McGee,gl,box,25,Maj-AL,Seattle,@,Toronto,1,,,,6.2,1,0,0,1,2,0,0,73,21,1,0,0,0,0,0,0,0,22,64,70%,16%,8%,47%,21%,5%,2023-04-25
Grayson Rodriguez,gl,box,23,Maj-AL,Baltimore,@,Detroit,1,1.0,,,5.0,2,0,0,1,9,0,0,71,17,1,0,0,0,0,0,0,0,18,91,65%,20%,14%,50%,25%,13%,2023-04-25
Bailey Ober,gl,box,27,Maj-AL,Minnesota,,Kansas City,1,,,,5.2,4,1,1,2,6,0,0,61,21,1,0,0,0,0,1,0,0,23,88,63%,17%,13%,13%,33%,20%,2023-04-25
Eduardo Rodriguez,gl,box,30,Maj-AL,Detroit,,Baltimore,1,1.0,,,5.2,4,1,1,2,5,1,0,60,20,2,0,0,1,0,0,0,0,22,98,63%,18%,5%,47%,13%,0%,2023-04-25
Lance Lynn,gl,box,36,Maj-AL,Chicago,,Tampa Bay,1,,1.0,,6.1,3,4,4,2,10,1,0,59,22,1,0,0,0,0,0,0,0,24,103,65%,15%,17%,33%,33%,8%,2023-04-25
Brayan Bello,gl,box,24,Maj-AL,Boston,,Cleveland,1,,,,5.0,5,1,1,2,6,1,0,57,18,0,0,0,1,0,1,1,0,20,84,56%,12%,10%,58%,25%,0%,2023-04-25
Jhony Brito,gl,box,25,Maj-AL,New York,@,Texas,1,,1.0,,5.0,4,2,2,1,5,1,0,55,19,1,0,0,0,0,1,0,0,20,59,73%,27%,10%,43%,21%,0%,2023-04-25
Kyle Muller,gl,box,25,Maj-AL,Oakland,,Cincinnati,1,,,,5.0,5,1,1,2,3,1,0,54,17,1,0,0,0,0,0,1,1,19,80,59%,18%,8%,29%,36%,7%,2023-04-25
Brad Keller,gl,box,27,Maj-AL,Kansas City,@,Minnesota,1,,,,5.1,6,1,1,5,4,0,0,51,20,1,0,0,1,0,0,0,0,25,92,53%,15%,9%,63%,19%,6%,2023-04-25
Cristian Javier,gl,box,26,Maj-AL,Houston,,Philadelphia,1,,1.0,,5.2,7,3,3,1,6,1,0,48,23,5,0,0,0,1,1,0,0,25,97,68%,14%,10%,17%,44%,6%,2023-04-25
Calvin Faucher,gl,box,27,Maj-AL,Tampa Bay,@,Chicago,1,,,,1.1,1,2,2,2,1,0,0,43,6,0,0,0,0,0,0,0,0,8,39,56%,18%,8%,60%,0%,20%,2023-04-25
Reid Detmers,gl,box,23,Maj-AL,Los Angeles,@,Milwaukee,1,,1.0,,4.1,4,7,4,3,6,0,0,36,18,2,0,0,0,0,0,0,0,21,91,63%,12%,14%,50%,17%,0%,2023-04-25
Matthew Boyd,gl,box,32,Maj-AL,Detroit,,Baltimore,1,,1.0,,5.2,8,6,6,1,3,1,0,31,25,0,0,0,0,0,0,0,0,26,102,65%,14%,16%,23%,18%,14%,2023-04-25
Dean Kremer,gl,box,27,Maj-AL,Baltimore,@,Detroit,1,,1.0,,5.0,11,5,5,2,6,0,0,29,24,2,0,0,1,0,0,1,0,26,90,64%,18%,9%,28%,50%,0%,2023-04-25
Zach Plesac,gl,box,28,Maj-AL,Cleveland,@,Boston,1,,,,3.1,8,5,5,1,1,1,0,24,17,3,0,0,0,0,0,0,0,18,57,60%,14%,4%,50%,19%,6%,2023-04-25
Clayton Kershaw,gl,box,35,Maj-NL,Los Angeles,,St. Louis,1,1.0,,,7.0,2,0,0,0,9,0,0,82,23,0,0,0,0,0,0,0,0,23,88,77%,15%,20%,36%,7%,36%,2023-04-25
Zack Wheeler,gl,box,33,Maj-NL,Philadelphia,@,Houston,1,1.0,,,6.0,3,0,0,1,7,0,1,72,21,1,0,0,0,0,1,0,0,23,104,66%,13%,11%,57%,21%,14%,2023-04-25
Vince Velasquez,gl,box,31,Maj-NL,Pittsburgh,@,Washington,1,1.0,,,6.0,5,0,0,0,5,0,1,67,23,0,0,0,0,0,1,0,0,24,92,71%,22%,12%,22%,44%,6%,2023-04-25
Jordan Montgomery,gl,box,30,Maj-NL,St. Louis,@,Los Angeles,1,,1.0,,6.2,5,1,1,2,7,0,0,65,25,1,0,0,0,0,2,0,0,27,93,63%,18%,13%,56%,22%,0%,2023-04-25
Corbin Burnes,gl,box,28,Maj-NL,Milwaukee,,Los Angeles,1,1.0,,,6.0,5,1,1,1,5,0,1,62,21,0,0,0,1,1,0,0,0,24,91,65%,13%,16%,41%,29%,12%,2023-04-25
Hunter Greene,gl,box,23,Maj-NL,Cincinnati,@,Oakland,1,,,,5.0,5,2,0,3,10,0,1,60,20,1,0,0,0,0,1,1,0,24,112,61%,11%,21%,60%,10%,0%,2023-04-25
Edward Cabrera,gl,box,25,Maj-NL,Miami,,Chicago,1,1.0,,,5.0,3,2,2,5,12,1,0,60,17,0,0,0,1,0,0,0,0,22,110,59%,19%,15%,80%,0%,0%,2023-04-25
Rich Hill,gl,box,43,Maj-NL,Pittsburgh,@,Washington,1,1.0,,,6.1,8,3,2,0,5,0,0,52,26,3,1,0,0,0,1,0,0,27,103,73%,18%,12%,43%,33%,5%,2023-04-25
Patrick Corbin,gl,box,33,Maj-NL,Washington,,Pittsburgh,1,,1.0,,5.1,7,3,3,1,2,1,0,43,21,2,0,0,0,0,0,2,0,22,91,63%,19%,5%,47%,16%,11%,2023-04-25
Tommy Henry,gl,box,25,Maj-NL,Arizona,@,Colorado,1,1.0,,,5.1,7,4,4,1,3,0,0,40,22,3,1,0,0,0,0,0,0,23,75,65%,8%,8%,37%,21%,16%,2023-04-25
Sean Manaea,gl,box,31,Maj-NL,San Francisco,@,San Diego,1,,,,2.0,5,5,4,4,3,1,0,27,11,2,0,0,0,0,0,0,0,15,71,54%,15%,6%,38%,38%,0%,2023-04-25
Joe Musgrove,gl,box,30,Maj-NL,San Diego,,San Francisco,1,,,,3.1,6,7,7,1,3,3,1,22,16,1,0,0,0,0,0,0,0,18,73,60%,16%,12%,46%,8%,8%,2023-04-25
Chad Kuhl,gl,box,30,Maj-NL,Washington,,Pittsburgh,1,,1.0,,3.2,7,8,8,4,4,0,1,15,13,4,0,0,0,3,1,1,0,22,100,54%,13%,15%,23%,38%,8%,2023-04-25
Caleb Kilian,gl,box,26,Maj-NL,Chicago,@,Miami,1,,1.0,,3.1,10,7,7,2,4,0,2,14,19,2,0,0,1,0,0,0,0,23,88,65%,17%,8%,40%,53%,0%,2023-04-25
Noah Davis,gl,box,26,Maj-NL,Colorado,,Arizona,1,,1.0,,2.0,7,7,7,2,2,1,0,14,12,1,0,0,0,0,0,1,0,14,54,59%,15%,11%,50%,30%,0%,2023-04-25
Nathan Eovaldi,gl,box,33,Maj-AL,Texas,,New York,1,1.0,,,9.0,3,0,0,0,8,0,0,89,28,0,0,0,1,0,0,0,0,29,113,69%,18%,12%,67%,10%,5%,2023-04-24
Kevin Gausman,gl,box,32,Maj-AL,Toronto,,Seattle,1,,,,7.0,6,0,0,1,13,0,0,77,26,0,0,0,0,0,1,0,1,27,108,69%,15%,25%,46%,23%,0%,2023-04-24
Easton McGee,gl,box,25,Maj-AL,Seattle,@,Toronto,1,,,,6.2,1,0,0,1,2,0,0,73,21,1,0,0,0,0,0,0,0,22,64,70%,16%,8%,47%,21%,5%,2023-04-24
Grayson Rodriguez,gl,box,23,Maj-AL,Baltimore,@,Detroit,1,1.0,,,5.0,2,0,0,1,9,0,0,71,17,1,0,0,0,0,0,0,0,18,91,65%,20%,14%,50%,25%,13%,2023-04-24
Bailey Ober,gl,box,27,Maj-AL,Minnesota,,Kansas City,1,,,,5.2,4,1,1,2,6,0,0,61,21,1,0,0,0,0,1,0,0,23,88,63%,17%,13%,13%,33%,20%,2023-04-24
Eduardo Rodriguez,gl,box,30,Maj-AL,Detroit,,Baltimore,1,1.0,,,5.2,4,1,1,2,5,1,0,60,20,2,0,0,1,0,0,0,0,22,98,63%,18%,5%,47%,13%,0%,2023-04-24
Lance Lynn,gl,box,36,Maj-AL,Chicago,,Tampa Bay,1,,1.0,,6.1,3,4,4,2,10,1,0,59,22,1,0,0,0,0,0,0,0,24,103,65%,15%,17%,33%,33%,8%,2023-04-24
Brayan Bello,gl,box,24,Maj-AL,Boston,,Cleveland,1,,,,5.0,5,1,1,2,6,1,0,57,18,0,0,0,1,0,1,1,0,20,84,56%,12%,10%,58%,25%,0%,2023-04-24
Jhony Brito,gl,box,25,Maj-AL,New York,@,Texas,1,,1.0,,5.0,4,2,2,1,5,1,0,55,19,1,0,0,0,0,1,0,0,20,59,73%,27%,10%,43%,21%,0%,2023-04-24
Kyle Muller,gl,box,25,Maj-AL,Oakland,,Cincinnati,1,,,,5.0,5,1,1,2,3,1,0,54,17,1,0,0,0,0,0,1,1,19,80,59%,18%,8%,29%,36%,7%,2023-04-24
Brad Keller,gl,box,27,Maj-AL,Kansas City,@,Minnesota,1,,,,5.1,6,1,1,5,4,0,0,51,20,1,0,0,1,0,0,0,0,25,92,53%,15%,9%,63%,19%,6%,2023-04-24
Cristian Javier,gl,box,26,Maj-AL,Houston,,Philadelphia,1,,1.0,,5.2,7,3,3,1,6,1,0,48,23,5,0,0,0,1,1,0,0,25,97,68%,14%,10%,17%,44%,6%,2023-04-24
Calvin Faucher,gl,box,27,Maj-AL,Tampa Bay,@,Chicago,1,,,,1.1,1,2,2,2,1,0,0,43,6,0,0,0,0,0,0,0,0,8,39,56%,18%,8%,60%,0%,20%,2023-04-24
Reid Detmers,gl,box,23,Maj-AL,Los Angeles,@,Milwaukee,1,,1.0,,4.1,4,7,4,3,6,0,0,36,18,2,0,0,0,0,0,0,0,21,91,63%,12%,14%,50%,17%,0%,2023-04-24
Matthew Boyd,gl,box,32,Maj-AL,Detroit,,Baltimore,1,,1.0,,5.2,8,6,6,1,3,1,0,31,25,0,0,0,0,0,0,0,0,26,102,65%,14%,16%,23%,18%,14%,2023-04-24
Dean Kremer,gl,box,27,Maj-AL,Baltimore,@,Detroit,1,,1.0,,5.0,11,5,5,2,6,0,0,29,24,2,0,0,1,0,0,1,0,26,90,64%,18%,9%,28%,50%,0%,2023-04-24
Zach Plesac,gl,box,28,Maj-AL,Cleveland,@,Boston,1,,,,3.1,8,5,5,1,1,1,0,24,17,3,0,0,0,0,0,0,0,18,57,60%,14%,4%,50%,19%,6%,2023-04-24
Clayton Kershaw,gl,box,35,Maj-NL,Los Angeles,,St. Louis,1,1.0,,,7.0,2,0,0,0,9,0,0,82,23,0,0,0,0,0,0,0,0,23,88,77%,15%,20%,36%,7%,36%,2023-04-24
Zack Wheeler,gl,box,33,Maj-NL,Philadelphia,@,Houston,1,1.0,,,6.0,3,0,0,1,7,0,1,72,21,1,0,0,0,0,1,0,0,23,104,66%,13%,11%,57%,21%,14%,2023-04-24
Vince Velasquez,gl,box,31,Maj-NL,Pittsburgh,@,Washington,1,1.0,,,6.0,5,0,0,0,5,0,1,67,23,0,0,0,0,0,1,0,0,24,92,71%,22%,12%,22%,44%,6%,2023-04-24
Jordan Montgomery,gl,box,30,Maj-NL,St. Louis,@,Los Angeles,1,,1.0,,6.2,5,1,1,2,7,0,0,65,25,1,0,0,0,0,2,0,0,27,93,63%,18%,13%,56%,22%,0%,2023-04-24
Corbin Burnes,gl,box,28,Maj-NL,Milwaukee,,Los Angeles,1,1.0,,,6.0,5,1,1,1,5,0,1,62,21,0,0,0,1,1,0,0,0,24,91,65%,13%,16%,41%,29%,12%,2023-04-24
Hunter Greene,gl,box,23,Maj-NL,Cincinnati,@,Oakland,1,,,,5.0,5,2,0,3,10,0,1,60,20,1,0,0,0,0,1,1,0,24,112,61%,11%,21%,60%,10%,0%,2023-04-24
Edward Cabrera,gl,box,25,Maj-NL,Miami,,Chicago,1,1.0,,,5.0,3,2,2,5,12,1,0,60,17,0,0,0,1,0,0,0,0,22,110,59%,19%,15%,80%,0%,0%,2023-04-24
Rich Hill,gl,box,43,Maj-NL,Pittsburgh,@,Washington,1,1.0,,,6.1,8,3,2,0,5,0,0,52,26,3,1,0,0,0,1,0,0,27,103,73%,18%,12%,43%,33%,5%,2023-04-24
Patrick Corbin,gl,box,33,Maj-NL,Washington,,Pittsburgh,1,,1.0,,5.1,7,3,3,1,2,1,0,43,21,2,0,0,0,0,0,2,0,22,91,63%,19%,5%,47%,16%,11%,2023-04-24
Tommy Henry,gl,box,25,Maj-NL,Arizona,@,Colorado,1,1.0,,,5.1,7,4,4,1,3,0,0,40,22,3,1,0,0,0,0,0,0,23,75,65%,8%,8%,37%,21%,16%,2023-04-24
Sean Manaea,gl,box,31,Maj-NL,San Francisco,@,San Diego,1,,,,2.0,5,5,4,4,3,1,0,27,11,2,0,0,0,0,0,0,0,15,71,54%,15%,6%,38%,38%,0%,2023-04-24
Joe Musgrove,gl,box,30,Maj-NL,San Diego,,San Francisco,1,,,,3.1,6,7,7,1,3,3,1,22,16,1,0,0,0,0,0,0,0,18,73,60%,16%,12%,46%,8%,8%,2023-04-24
Chad Kuhl,gl,box,30,Maj-NL,Washington,,Pittsburgh,1,,1.0,,3.2,7,8,8,4,4,0,1,15,13,4,0,0,0,3,1,1,0,22,100,54%,13%,15%,23%,38%,8%,2023-04-24
Caleb Kilian,gl,box,26,Maj-NL,Chicago,@,Miami,1,,1.0,,3.1,10,7,7,2,4,0,2,14,19,2,0,0,1,0,0,0,0,23,88,65%,17%,8%,40%,53%,0%,2023-04-24
Noah Davis,gl,box,26,Maj-NL,Colorado,,Arizona,1,,1.0,,2.0,7,7,7,2,2,1,0,14,12,1,0,0,0,0,0,1,0,14,54,59%,15%,11%,50%,30%,0%,2023-04-24
Nathan Eovaldi,gl,box,33,Maj-AL,Texas,,New York,1,1.0,,,9.0,3,0,0,0,8,0,0,89,28,0,0,0,1,0,0,0,0,29,113,69%,18%,12%,67%,10%,5%,2023-04-23
Kevin Gausman,gl,box,32,Maj-AL,Toronto,,Seattle,1,,,,7.0,6,0,0,1,13,0,0,77,26,0,0,0,0,0,1,0,1,27,108,69%,15%,25%,46%,23%,0%,2023-04-23
Easton McGee,gl,box,25,Maj-AL,Seattle,@,Toronto,1,,,,6.2,1,0,0,1,2,0,0,73,21,1,0,0,0,0,0,0,0,22,64,70%,16%,8%,47%,21%,5%,2023-04-23
Grayson Rodriguez,gl,box,23,Maj-AL,Baltimore,@,Detroit,1,1.0,,,5.0,2,0,0,1,9,0,0,71,17,1,0,0,0,0,0,0,0,18,91,65%,20%,14%,50%,25%,13%,2023-04-23
Bailey Ober,gl,box,27,Maj-AL,Minnesota,,Kansas City,1,,,,5.2,4,1,1,2,6,0,0,61,21,1,0,0,0,0,1,0,0,23,88,63%,17%,13%,13%,33%,20%,2023-04-23
Eduardo Rodriguez,gl,box,30,Maj-AL,Detroit,,Baltimore,1,1.0,,,5.2,4,1,1,2,5,1,0,60,20,2,0,0,1,0,0,0,0,22,98,63%,18%,5%,47%,13%,0%,2023-04-23
Lance Lynn,gl,box,36,Maj-AL,Chicago,,Tampa Bay,1,,1.0,,6.1,3,4,4,2,10,1,0,59,22,1,0,0,0,0,0,0,0,24,103,65%,15%,17%,33%,33%,8%,2023-04-23
Brayan Bello,gl,box,24,Maj-AL,Boston,,Cleveland,1,,,,5.0,5,1,1,2,6,1,0,57,18,0,0,0,1,0,1,1,0,20,84,56%,12%,10%,58%,25%,0%,2023-04-23
Jhony Brito,gl,box,25,Maj-AL,New York,@,Texas,1,,1.0,,5.0,4,2,2,1,5,1,0,55,19,1,0,0,0,0,1,0,0,20,59,73%,27%,10%,43%,21%,0%,2023-04-23
Kyle Muller,gl,box,25,Maj-AL,Oakland,,Cincinnati,1,,,,5.0,5,1,1,2,3,1,0,54,17,1,0,0,0,0,0,1,1,19,80,59%,18%,8%,29%,36%,7%,2023-04-23
Brad Keller,gl,box,27,Maj-AL,Kansas City,@,Minnesota,1,,,,5.1,6,1,1,5,4,0,0,51,20,1,0,0,1,0,0,0,0,25,92,53%,15%,9%,63%,19%,6%,2023-04-23
Cristian Javier,gl,box,26,Maj-AL,Houston,,Philadelphia,1,,1.0,,5.2,7,3,3,1,6,1,0,48,23,5,0,0,0,1,1,0,0,25,97,68%,14%,10%,17%,44%,6%,2023-04-23
Calvin Faucher,gl,box,27,Maj-AL,Tampa Bay,@,Chicago,1,,,,1.1,1,2,2,2,1,0,0,43,6,0,0,0,0,0,0,0,0,8,39,56%,18%,8%,60%,0%,20%,2023-04-23
Reid Detmers,gl,box,23,Maj-AL,Los Angeles,@,Milwaukee,1,,1.0,,4.1,4,7,4,3,6,0,0,36,18,2,0,0,0,0,0,0,0,21,91,63%,12%,14%,50%,17%,0%,2023-04-23
Matthew Boyd,gl,box,32,Maj-AL,Detroit,,Baltimore,1,,1.0,,5.2,8,6,6,1,3,1,0,31,25,0,0,0,0,0,0,0,0,26,102,65%,14%,16%,23%,18%,14%,2023-04-23
Dean Kremer,gl,box,27,Maj-AL,Baltimore,@,Detroit,1,,1.0,,5.0,11,5,5,2,6,0,0,29,24,2,0,0,1,0,0,1,0,26,90,64%,18%,9%,28%,50%,0%,2023-04-23
Zach Plesac,gl,box,28,Maj-AL,Cleveland,@,Boston,1,,,,3.1,8,5,5,1,1,1,0,24,17,3,0,0,0,0,0,0,0,18,57,60%,14%,4%,50%,19%,6%,2023-04-23
Clayton Kershaw,gl,box,35,Maj-NL,Los Angeles,,St. Louis,1,1.0,,,7.0,2,0,0,0,9,0,0,82,23,0,0,0,0,0,0,0,0,23,88,77%,15%,20%,36%,7%,36%,2023-04-23
Zack Wheeler,gl,box,33,Maj-NL,Philadelphia,@,Houston,1,1.0,,,6.0,3,0,0,1,7,0,1,72,21,1,0,0,0,0,1,0,0,23,104,66%,13%,11%,57%,21%,14%,2023-04-23
Vince Velasquez,gl,box,31,Maj-NL,Pittsburgh,@,Washington,1,1.0,,,6.0,5,0,0,0,5,0,1,67,23,0,0,0,0,0,1,0,0,24,92,71%,22%,12%,22%,44%,6%,2023-04-23
Jordan Montgomery,gl,box,30,Maj-NL,St. Louis,@,Los Angeles,1,,1.0,,6.2,5,1,1,2,7,0,0,65,25,1,0,0,0,0,2,0,0,27,93,63%,18%,13%,56%,22%,0%,2023-04-23
Corbin Burnes,gl,box,28,Maj-NL,Milwaukee,,Los Angeles,1,1.0,,,6.0,5,1,1,1,5,0,1,62,21,0,0,0,1,1,0,0,0,24,91,65%,13%,16%,41%,29%,12%,2023-04-23
Hunter Greene,gl,box,23,Maj-NL,Cincinnati,@,Oakland,1,,,,5.0,5,2,0,3,10,0,1,60,20,1,0,0,0,0,1,1,0,24,112,61%,11%,21%,60%,10%,0%,2023-04-23
Edward Cabrera,gl,box,25,Maj-NL,Miami,,Chicago,1,1.0,,,5.0,3,2,2,5,12,1,0,60,17,0,0,0,1,0,0,0,0,22,110,59%,19%,15%,80%,0%,0%,2023-04-23
Rich Hill,gl,box,43,Maj-NL,Pittsburgh,@,Washington,1,1.0,,,6.1,8,3,2,0,5,0,0,52,26,3,1,0,0,0,1,0,0,27,103,73%,18%,12%,43%,33%,5%,2023-04-23
Patrick Corbin,gl,box,33,Maj-NL,Washington,,Pittsburgh,1,,1.0,,5.1,7,3,3,1,2,1,0,43,21,2,0,0,0,0,0,2,0,22,91,63%,19%,5%,47%,16%,11%,2023-04-23
Tommy Henry,gl,box,25,Maj-NL,Arizona,@,Colorado,1,1.0,,,5.1,7,4,4,1,3,0,0,40,22,3,1,0,0,0,0,0,0,23,75,65%,8%,8%,37%,21%,16%,2023-04-23
Sean Manaea,gl,box,31,Maj-NL,San Francisco,@,San Diego,1,,,,2.0,5,5,4,4,3,1,0,27,11,2,0,0,0,0,0,0,0,15,71,54%,15%,6%,38%,38%,0%,2023-04-23
Joe Musgrove,gl,box,30,Maj-NL,San Diego,,San Francisco,1,,,,3.1,6,7,7,1,3,3,1,22,16,1,0,0,0,0,0,0,0,18,73,60%,16%,12%,46%,8%,8%,2023-04-23
Chad Kuhl,gl,box,30,Maj-NL,Washington,,Pittsburgh,1,,1.0,,3.2,7,8,8,4,4,0,1,15,13,4,0,0,0,3,1,1,0,22,100,54%,13%,15%,23%,38%,8%,2023-04-23
Caleb Kilian,gl,box,26,Maj-NL,Chicago,@,Miami,1,,1.0,,3.1,10,7,7,2,4,0,2,14,19,2,0,0,1,0,0,0,0,23,88,65%,17%,8%,40%,53%,0%,2023-04-23
Noah Davis,gl,box,26,Maj-NL,Colorado,,Arizona,1,,1.0,,2.0,7,7,7,2,2,1,0,14,12,1,0,0,0,0,0,1,0,14,54,59%,15%,11%,50%,30%,0%,2023-04-23
Nathan Eovaldi,gl,box,33,Maj-AL,Texas,,New York,1,1.0,,,9.0,3,0,0,0,8,0,0,89,28,0,0,0,1,0,0,0,0,29,113,69%,18%,12%,67%,10%,5%,2023-04-22
Kevin Gausman,gl,box,32,Maj-AL,Toronto,,Seattle,1,,,,7.0,6,0,0,1,13,0,0,77,26,0,0,0,0,0,1,0,1,27,108,69%,15%,25%,46%,23%,0%,2023-04-22
Easton McGee,gl,box,25,Maj-AL,Seattle,@,Toronto,1,,,,6.2,1,0,0,1,2,0,0,73,21,1,0,0,0,0,0,0,0,22,64,70%,16%,8%,47%,21%,5%,2023-04-22
Grayson Rodriguez,gl,box,23,Maj-AL,Baltimore,@,Detroit,1,1.0,,,5.0,2,0,0,1,9,0,0,71,17,1,0,0,0,0,0,0,0,18,91,65%,20%,14%,50%,25%,13%,2023-04-22
Bailey Ober,gl,box,27,Maj-AL,Minnesota,,Kansas City,1,,,,5.2,4,1,1,2,6,0,0,61,21,1,0,0,0,0,1,0,0,23,88,63%,17%,13%,13%,33%,20%,2023-04-22
Eduardo Rodriguez,gl,box,30,Maj-AL,Detroit,,Baltimore,1,1.0,,,5.2,4,1,1,2,5,1,0,60,20,2,0,0,1,0,0,0,0,22,98,63%,18%,5%,47%,13%,0%,2023-04-22
Lance Lynn,gl,box,36,Maj-AL,Chicago,,Tampa Bay,1,,1.0,,6.1,3,4,4,2,10,1,0,59,22,1,0,0,0,0,0,0,0,24,103,65%,15%,17%,33%,33%,8%,2023-04-22
Brayan Bello,gl,box,24,Maj-AL,Boston,,Cleveland,1,,,,5.0,5,1,1,2,6,1,0,57,18,0,0,0,1,0,1,1,0,20,84,56%,12%,10%,58%,25%,0%,2023-04-22
Jhony Brito,gl,box,25,Maj-AL,New York,@,Texas,1,,1.0,,5.0,4,2,2,1,5,1,0,55,19,1,0,0,0,0,1,0,0,20,59,73%,27%,10%,43%,21%,0%,2023-04-22
Kyle Muller,gl,box,25,Maj-AL,Oakland,,Cincinnati,1,,,,5.0,5,1,1,2,3,1,0,54,17,1,0,0,0,0,0,1,1,19,80,59%,18%,8%,29%,36%,7%,2023-04-22
Brad Keller,gl,box,27,Maj-AL,Kansas City,@,Minnesota,1,,,,5.1,6,1,1,5,4,0,0,51,20,1,0,0,1,0,0,0,0,25,92,53%,15%,9%,63%,19%,6%,2023-04-22
Cristian Javier,gl,box,26,Maj-AL,Houston,,Philadelphia,1,,1.0,,5.2,7,3,3,1,6,1,0,48,23,5,0,0,0,1,1,0,0,25,97,68%,14%,10%,17%,44%,6%,2023-04-22
Calvin Faucher,gl,box,27,Maj-AL,Tampa Bay,@,Chicago,1,,,,1.1,1,2,2,2,1,0,0,43,6,0,0,0,0,0,0,0,0,8,39,56%,18%,8%,60%,0%,20%,2023-04-22
Reid Detmers,gl,box,23,Maj-AL,Los Angeles,@,Milwaukee,1,,1.0,,4.1,4,7,4,3,6,0,0,36,18,2,0,0,0,0,0,0,0,21,91,63%,12%,14%,50%,17%,0%,2023-04-22
Matthew Boyd,gl,box,32,Maj-AL,Detroit,,Baltimore,1,,1.0,,5.2,8,6,6,1,3,1,0,31,25,0,0,0,0,0,0,0,0,26,102,65%,14%,16%,23%,18%,14%,2023-04-22
Dean Kremer,gl,box,27,Maj-AL,Baltimore,@,Detroit,1,,1.0,,5.0,11,5,5,2,6,0,0,29,24,2,0,0,1,0,0,1,0,26,90,64%,18%,9%,28%,50%,0%,2023-04-22
Zach Plesac,gl,box,28,Maj-AL,Cleveland,@,Boston,1,,,,3.1,8,5,5,1,1,1,0,24,17,3,0,0,0,0,0,0,0,18,57,60%,14%,4%,50%,19%,6%,2023-04-22
Clayton Kershaw,gl,box,35,Maj-NL,Los Angeles,,St. Louis,1,1.0,,,7.0,2,0,0,0,9,0,0,82,23,0,0,0,0,0,0,0,0,23,88,77%,15%,20%,36%,7%,36%,2023-04-22
Zack Wheeler,gl,box,33,Maj-NL,Philadelphia,@,Houston,1,1.0,,,6.0,3,0,0,1,7,0,1,72,21,1,0,0,0,0,1,0,0,23,104,66%,13%,11%,57%,21%,14%,2023-04-22
Vince Velasquez,gl,box,31,Maj-NL,Pittsburgh,@,Washington,1,1.0,,,6.0,5,0,0,0,5,0,1,67,23,0,0,0,0,0,1,0,0,24,92,71%,22%,12%,22%,44%,6%,2023-04-22
Jordan Montgomery,gl,box,30,Maj-NL,St. Louis,@,Los Angeles,1,,1.0,,6.2,5,1,1,2,7,0,0,65,25,1,0,0,0,0,2,0,0,27,93,63%,18%,13%,56%,22%,0%,2023-04-22
Corbin Burnes,gl,box,28,Maj-NL,Milwaukee,,Los Angeles,1,1.0,,,6.0,5,1,1,1,5,0,1,62,21,0,0,0,1,1,0,0,0,24,91,65%,13%,16%,41%,29%,12%,2023-04-22
Hunter Greene,gl,box,23,Maj-NL,Cincinnati,@,Oakland,1,,,,5.0,5,2,0,3,10,0,1,60,20,1,0,0,0,0,1,1,0,24,112,61%,11%,21%,60%,10%,0%,2023-04-22
Edward Cabrera,gl,box,25,Maj-NL,Miami,,Chicago,1,1.0,,,5.0,3,2,2,5,12,1,0,60,17,0,0,0,1,0,0,0,0,22,110,59%,19%,15%,80%,0%,0%,2023-04-22
Rich Hill,gl,box,43,Maj-NL,Pittsburgh,@,Washington,1,1.0,,,6.1,8,3,2,0,5,0,0,52,26,3,1,0,0,0,1,0,0,27,103,73%,18%,12%,43%,33%,5%,2023-04-22
Patrick Corbin,gl,box,33,Maj-NL,Washington,,Pittsburgh,1,,1.0,,5.1,7,3,3,1,2,1,0,43,21,2,0,0,0,0,0,2,0,22,91,63%,19%,5%,47%,16%,11%,2023-04-22
Tommy Henry,gl,box,25,Maj-NL,Arizona,@,Colorado,1,1.0,,,5.1,7,4,4,1,3,0,0,40,22,3,1,0,0,0,0,0,0,23,75,65%,8%,8%,37%,21%,16%,2023-04-22
Sean Manaea,gl,box,31,Maj-NL,San Francisco,@,San Diego,1,,,,2.0,5,5,4,4,3,1,0,27,11,2,0,0,0,0,0,0,0,15,71,54%,15%,6%,38%,38%,0%,2023-04-22
